Customer,Account.Length,International.Plan,Voice.Mail.Plan,Voice.Mail.Messages,Day.Minutes,Day.Calls,Day.Charge,Evening.Minutes,Evening.Calls,Evening.Charge,Night.Minutes,Night.Calls,Night.Charge,International.Minutes,International.Calls,International.Charge,Customer.Service.Calls,Churn
1,111,No,No,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12,2,3.24,1,No
2,127,No,No,0,239.8,107,40.77,128.9,121,10.96,249.9,110,11.25,11.3,5,3.05,1,No
3,63,No,No,0,207.6,96,35.29,229,112,19.47,162.6,131,7.32,13.3,2,3.59,1,No
4,81,No,Yes,24,130.1,117,22.12,196,61,16.66,139.3,123,6.27,11.4,5,3.08,0,No
5,49,No,No,0,266.3,90,45.27,207.8,117,17.66,205,98,9.23,14,2,3.78,2,Yes
6,16,No,No,0,209.5,89,35.62,172.8,85,14.69,94.1,102,4.23,8.8,4,2.38,1,No
7,103,No,Yes,31,185.4,105,31.52,197.6,126,16.8,147.1,110,6.62,14.5,4,3.92,2,No
8,74,No,No,0,262.3,114,44.59,198.9,96,16.91,165.9,90,7.47,6.6,5,1.78,3,No
9,41,No,No,0,202.9,97,34.49,153.8,104,13.07,113.5,92,5.11,9,3,2.43,3,No
10,93,No,No,0,328.1,106,55.78,151.7,89,12.89,303.5,114,13.66,8.7,3,2.35,1,Yes
11,150,No,No,0,214,117,36.38,192.4,89,16.35,242.6,99,10.92,7.9,4,2.13,1,No
12,64,No,Yes,31,228.6,88,38.86,248.5,109,21.12,167.1,124,7.52,9,1,2.43,3,No
13,99,No,No,0,169.2,70,28.76,271.5,77,23.08,170.2,104,7.66,10.6,2,2.86,0,No
14,75,No,No,0,122.8,89,20.88,211.3,104,17.96,261.4,91,11.76,10.7,2,2.89,2,No
15,189,No,No,0,208.3,106,35.41,236.7,123,20.12,179.1,120,8.06,11.3,5,3.05,3,No
16,130,No,No,0,213.1,105,36.23,206.2,108,17.53,163.4,93,7.35,8.9,3,2.4,0,No
17,81,No,No,0,115.3,99,19.6,224.7,117,19.1,152.5,98,6.86,18,2,4.86,1,No
18,182,No,No,0,69.1,114,11.75,230.3,109,19.58,256.7,96,11.55,6.5,4,1.76,0,No
19,78,No,No,0,162.3,116,27.59,192.4,86,16.35,240.6,100,10.83,10.1,3,2.73,2,No
20,128,No,No,0,125.2,99,21.28,205.4,107,17.46,254.4,111,11.45,18.9,2,5.1,0,No
21,116,No,No,0,205,90,34.85,140.9,114,11.98,272.6,96,12.27,7.5,4,2.03,2,No
22,54,Yes,No,0,214.1,77,36.4,240.5,94,20.44,188.9,75,8.5,10.1,3,2.73,1,No
23,30,No,No,0,162.3,96,27.59,244,122,20.74,180.1,89,8.1,9.1,4,2.46,2,No
24,107,No,No,0,260.5,108,44.29,102.4,110,8.7,129.7,148,5.84,9.8,5,2.65,1,No
25,106,Yes,No,0,133.7,45,22.73,187.8,107,15.96,181.9,89,8.19,10.7,2,2.89,1,Yes
26,166,Yes,Yes,28,175.8,126,29.89,253.6,76,21.56,128.5,72,5.78,11.4,5,3.08,1,No
27,85,No,No,0,212.3,107,36.09,228.4,103,19.41,163.3,116,7.35,7.7,3,2.08,0,No
28,95,No,No,0,184.2,95,31.31,181.6,101,15.44,143.4,113,6.45,12.8,4,3.46,2,No
29,4,Yes,No,0,145.3,89,24.7,303.8,93,25.82,206.1,82,9.27,8.9,4,2.4,0,No
30,58,No,Yes,30,178.1,111,30.28,236.7,109,20.12,264,118,11.88,8.4,2,2.27,0,No
31,107,No,Yes,38,219.4,92,37.3,180.5,73,15.34,104.1,91,4.68,11,1,2.97,2,No
32,128,No,No,0,187.3,84,31.84,270.8,95,23.02,206.4,68,9.29,10.1,5,2.73,1,No
33,88,No,Yes,45,80.3,140,13.65,153.3,101,13.03,309.2,123,13.91,12.8,3,3.46,2,No
34,93,No,No,0,179.3,93,30.48,178.6,98,15.18,225.2,131,10.13,11.5,6,3.11,3,No
35,181,Yes,No,0,161.3,83,27.42,124.4,83,10.57,262,98,11.79,14.1,3,3.81,0,Yes
36,91,No,Yes,20,146.1,98,24.84,277.4,104,23.58,137.7,100,6.2,6.2,3,1.67,1,No
37,57,No,No,0,149.3,100,25.38,200.2,110,17.02,231.7,101,10.43,11.9,3,3.21,2,No
38,150,No,No,0,136.6,112,23.22,209.4,81,17.8,161.1,78,7.25,12.2,2,3.29,4,Yes
39,176,No,No,0,201.9,101,34.32,154.7,78,13.15,164.4,79,7.4,9,2,2.43,1,No
40,141,No,No,0,160.1,87,27.22,256.7,120,21.82,270,107,12.15,7,1,1.89,2,No
41,116,No,Yes,35,118,103,20.06,167.2,106,14.21,205.7,102,9.26,11.8,2,3.19,2,No
42,124,No,No,0,160.9,109,27.35,144.2,152,12.26,120.4,97,5.42,12.9,12,3.48,1,No
43,47,No,Yes,37,112.8,150,19.18,243.9,97,20.73,178.7,112,8.04,13.2,6,3.56,2,No
