,riskscore,SCRate,TrailerRate,Price,Vol,return-N6M,return-HYG,return-IVV,AUM,Open,Gender,age,income,counts,sub,ed_Deg or abv,ed_H.Sch/Dip.,FRC
0,2,0.03,0.0,10.28,0,0.0,-0.044133,-0.05567999999999999,-1744.3228728635718,0,1,26,41678.4810566855,-169.68121331357702,0,0,0,1
1,2,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,1527.0849393611704,1,1,45,63396.551826473,19.076638127810817,1,1,0,2
2,3,0.03,0.0,10.28,0,0.0,-0.044133,-0.05567999999999999,-1611.01294043695,0,0,23,72806.9201340804,-156.713321054178,0,0,1,1
3,5,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,7521.022619171321,1,1,44,120660.399724462,93.954057930158,1,0,1,2
4,4,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,3809.04988416464,0,0,46,90728.006025023,49.07936909013363,1,0,1,2
5,1,0.03,0.0,10.7,33900,-0.016544,0.031439,0.090737,3052.6376895734998,1,1,48,82153.0539608188,285.29324201621495,1,1,0,1
6,1,0.03,0.0,10.28,10200,-0.041937999999999996,0.009385,0.063593,2258.967210589711,0,1,38,109382.38870632199,219.74389208071116,1,1,0,1
7,5,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,1587.2864988638505,0,1,50,52150.421314190586,19.82868756249579,1,0,1,2
8,5,0.03,0.0,76.360001,68569400,-0.041937999999999996,0.009385,0.063593,1890.6886309935107,0,0,45,87604.0102827404,24.760196519556235,1,0,1,2
9,4,0.03,0.0,71.349998,45706300,-0.043774,-0.022469,0.0036899999999999997,2324.32149213522,1,1,42,83688.6955173267,32.576335771379,1,0,1,2
10,4,0.0,0.003,72.989998,54289800,0.0,-0.044133,-0.05567999999999999,1479.1248661805805,1,0,31,80744.2802688393,20.264761018086073,1,0,0,2
11,3,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,3407.5840891042603,1,1,34,94995.43474820821,43.90650747581178,1,0,0,2
12,3,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,5018.66506626761,1,0,39,119471.98448865,62.69412714784796,1,0,0,2
13,3,0.03,0.0,69.75,55796500,0.007121,-0.022425,-0.04503,2982.3913479766297,0,0,59,75503.1379192579,42.75829889572229,0,0,0,2
14,3,0.03,0.0,9.9,21700,0.007121,-0.022425,-0.04503,3359.27083840646,0,0,36,110302.106841166,339.3202867077232,0,0,1,1
15,3,0.03,0.0,10.28,10200,-0.041937999999999996,0.009385,0.063593,-2037.2186784379999,0,0,30,42927.559473651,-198.173023194358,1,1,0,1
16,1,0.03,0.0,9.83,7000,-0.043774,-0.022469,0.0036899999999999997,-149.462281537235,0,1,38,49654.602311679104,-15.204708193004574,0,1,0,1
17,1,0.03,0.0,9.9,21700,0.007121,-0.022425,-0.04503,7325.40607556248,0,0,67,101341.526980942,739.9400076325737,0,1,0,1
18,3,0.03,0.0,10.88,25900,-0.014493,-0.039955000000000004,-0.096236,1986.7757007349605,1,1,32,88006.1973193575,182.60806072931615,1,0,1,1
19,3,0.03,0.0,75.650002,43080100,0.002804,-0.054965999999999994,-0.11574300000000001,3410.4623290676286,0,0,49,92462.416257281,45.08211816131385,0,0,1,2
20,3,0.03,0.0,71.349998,45706300,-0.043774,-0.022469,0.0036899999999999997,2815.38718509341,1,1,38,94715.0936579908,39.45882640520061,1,0,1,2
21,4,0.03,0.0,72.989998,54289800,0.0,-0.044133,-0.05567999999999999,2635.1772564837397,0,1,54,78232.9832883389,36.103265223869975,1,1,0,2
22,3,0.03,0.0,75.650002,43080100,0.002804,-0.054965999999999994,-0.11574300000000001,6601.2416545879505,1,1,59,110638.582617806,87.26029715885467,1,1,0,2
