,riskscore,SCRate,TrailerRate,Price,Vol,return-N6M,return-HYG,return-IVV,AUM,Open,Gender,age,income,sub,ed_Deg or abv,ed_H.Sch/Dip.,FRC
0,2,0.03,0.0,10.28,0,0.0,-0.044133,-0.05567999999999999,-1744.3228728635718,0,1,26,41678.4810566855,0,0,0,1
1,2,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,1527.0849393611704,1,1,45,63396.551826473,1,1,0,2
2,3,0.03,0.0,10.28,0,0.0,-0.044133,-0.05567999999999999,-1611.01294043695,0,0,23,72806.9201340804,0,0,1,1
3,5,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,7521.022619171321,1,1,44,120660.399724462,1,0,1,2
4,4,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,3809.04988416464,0,0,46,90728.006025023,1,0,1,2
5,1,0.03,0.0,10.7,33900,-0.016544,0.031439,0.090737,3052.6376895734998,1,1,48,82153.0539608188,1,1,0,1
6,1,0.03,0.0,10.28,10200,-0.041937999999999996,0.009385,0.063593,2258.967210589711,0,1,38,109382.38870632199,1,1,0,1
7,5,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,1587.2864988638505,0,1,50,52150.421314190586,1,0,1,2
8,5,0.03,0.0,76.360001,68569400,-0.041937999999999996,0.009385,0.063593,1890.6886309935107,0,0,45,87604.0102827404,1,0,1,2
9,4,0.03,0.0,71.349998,45706300,-0.043774,-0.022469,0.0036899999999999997,2324.32149213522,1,1,42,83688.6955173267,1,0,1,2
10,4,0.0,0.003,72.989998,54289800,0.0,-0.044133,-0.05567999999999999,1479.1248661805805,1,0,31,80744.2802688393,1,0,0,2
11,3,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,3407.5840891042603,1,1,34,94995.43474820821,1,0,0,2
12,3,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,5018.66506626761,1,0,39,119471.98448865,1,0,0,2
13,3,0.03,0.0,69.75,55796500,0.007121,-0.022425,-0.04503,2982.3913479766297,0,0,59,75503.1379192579,0,0,0,2
14,3,0.03,0.0,9.9,21700,0.007121,-0.022425,-0.04503,3359.27083840646,0,0,36,110302.106841166,0,0,1,1
15,3,0.03,0.0,10.28,10200,-0.041937999999999996,0.009385,0.063593,-2037.2186784379999,0,0,30,42927.559473651,1,1,0,1
16,1,0.03,0.0,9.83,7000,-0.043774,-0.022469,0.0036899999999999997,-149.462281537235,0,1,38,49654.602311679104,0,1,0,1
17,1,0.03,0.0,9.9,21700,0.007121,-0.022425,-0.04503,7325.40607556248,0,0,67,101341.526980942,0,1,0,1
18,3,0.03,0.0,10.88,25900,-0.014493,-0.039955000000000004,-0.096236,1986.7757007349605,1,1,32,88006.1973193575,1,0,1,1
19,3,0.03,0.0,75.650002,43080100,0.002804,-0.054965999999999994,-0.11574300000000001,3410.4623290676286,0,0,49,92462.416257281,0,0,1,2
20,3,0.03,0.0,71.349998,45706300,-0.043774,-0.022469,0.0036899999999999997,2815.38718509341,1,1,38,94715.0936579908,1,0,1,2
21,4,0.03,0.0,72.989998,54289800,0.0,-0.044133,-0.05567999999999999,2635.1772564837397,0,1,54,78232.9832883389,1,1,0,2
22,3,0.03,0.0,75.650002,43080100,0.002804,-0.054965999999999994,-0.11574300000000001,6601.2416545879505,1,1,59,110638.582617806,1,1,0,2
23,2,0.0,0.003,10.7,33900,-0.016544,0.031439,0.090737,4060.16938709381,0,0,51,80007.2325525132,1,1,0,1
24,2,0.0,0.003,71.349998,45706300,-0.043774,-0.022469,0.0036899999999999997,-86.67618459899789,0,1,27,77220.829392336,0,1,0,2
25,5,0.0,0.003,69.75,55796500,0.007121,-0.022425,-0.04503,2791.59585131226,0,1,47,84881.6005131371,1,0,0,2
26,5,0.03,0.0,69.75,55796500,0.007121,-0.022425,-0.04503,197.61192101306003,0,0,26,88374.35874379949,1,0,0,2
27,4,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,6881.48234300134,1,0,43,115927.206836795,1,1,0,2
28,1,0.03,0.0,10.88,25900,-0.014493,-0.039955000000000004,-0.096236,1559.28363786889,0,0,31,100184.989995856,0,1,0,1
29,1,0.03,0.0,10.7,33900,-0.016544,0.031439,0.090737,2699.54041350442,0,0,40,101418.603781849,1,1,0,1
30,5,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,1019.3372426521499,0,0,45,85140.5082973183,1,1,0,2
31,5,0.03,0.0,76.360001,68569400,-0.041937999999999996,0.009385,0.063593,1513.05448887571,1,0,43,67047.8967173555,1,1,0,2
32,5,0.0,0.003,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,-189.84259417493104,0,0,50,57286.5621483643,1,0,1,2
33,2,0.03,0.0,10.28,0,0.0,-0.044133,-0.05567999999999999,3800.606088312221,1,1,43,94346.156577216,1,0,1,1
34,5,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,303.5453848648699,1,1,42,59346.620778894,1,0,1,2
35,5,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,3063.6422375951197,1,0,48,87682.1069193642,1,0,1,2
36,1,0.03,0.0,10.28,0,0.0,-0.044133,-0.05567999999999999,-1236.452458562879,0,0,28,69703.5803102838,0,1,0,1
37,3,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,1930.0401141684601,1,0,43,55825.67242204901,1,0,0,2
38,2,0.03,0.0,10.73,11200,0.002804,-0.054965999999999994,-0.11574300000000001,-103.35598878604708,1,0,28,59393.2733908909,1,0,1,1
39,2,0.03,0.0,10.28,10200,-0.041937999999999996,0.009385,0.063593,2604.4076069510897,0,0,37,91107.2621706406,0,0,1,1
40,4,0.03,0.0,76.360001,68569400,-0.041937999999999996,0.009385,0.063593,3153.33096645351,0,1,46,90455.94392368721,0,0,0,2
41,5,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,1182.67786733327,1,1,45,70735.9986043354,1,0,1,2
42,1,0.0,0.003,10.7,33900,-0.016544,0.031439,0.090737,2623.39813816386,1,0,27,92912.2746438653,1,1,0,1
43,1,0.03,0.0,10.88,25900,-0.014493,-0.039955000000000004,-0.096236,-2225.37411823128,0,0,36,53144.98596958121,0,0,0,1
44,1,0.03,0.0,10.28,10200,-0.041937999999999996,0.009385,0.063593,1959.0554824981,0,0,45,74756.5983128246,0,0,0,1
45,4,0.0,0.003,80.050003,69164600,-0.016544,0.031439,0.090737,1936.4963034014602,0,0,46,74828.6968356255,0,1,0,2
46,4,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,689.22528813692,1,0,48,44494.1880796626,1,0,1,2
47,4,0.03,0.0,69.75,55796500,0.007121,-0.022425,-0.04503,2005.0666817726199,0,1,38,95759.9531218658,0,0,1,2
48,4,0.03,0.0,10.88,25900,-0.014493,-0.039955000000000004,-0.096236,1881.3894820939195,1,1,52,66706.5464781707,1,0,0,1
49,4,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,3063.172477774349,1,0,39,98125.8271567209,1,0,0,2
50,4,0.03,0.0,75.650002,43080100,0.002804,-0.054965999999999994,-0.11574300000000001,-675.356204068651,1,0,29,51932.2229960095,1,0,0,2
51,4,0.03,0.0,69.75,55796500,0.007121,-0.022425,-0.04503,1025.9633677014099,0,1,40,90469.1525956923,1,0,0,2
52,5,0.03,0.0,72.989998,54289800,0.0,-0.044133,-0.05567999999999999,3407.1910080956504,1,1,34,83204.60208299139,1,0,1,2
53,5,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,811.4881905722,1,1,20,89883.7801494314,1,1,0,2
54,5,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,3552.41978811242,1,0,45,82455.4052968571,1,0,1,2
55,5,0.03,0.0,69.75,55796500,0.007121,-0.022425,-0.04503,1162.5164475355605,0,0,34,81376.2810183184,0,0,1,2
56,1,0.03,0.0,10.88,25900,-0.014493,-0.039955000000000004,-0.096236,3421.7872557870296,1,1,50,34351.3480992354,1,0,1,1
57,4,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,1080.7717499138198,0,0,36,78254.1663173354,1,0,0,2
58,3,0.03,0.0,71.349998,45706300,-0.043774,-0.022469,0.0036899999999999997,-97.92731994853331,1,1,27,60830.553978985896,1,0,1,2
59,4,0.03,0.0,69.75,55796500,0.007121,-0.022425,-0.04503,1160.7515350041301,1,1,32,71505.9734694812,1,1,0,2
60,2,0.03,0.0,10.7,33900,-0.016544,0.031439,0.090737,1120.9702763396,0,1,44,69802.1178782991,0,1,0,1
61,2,0.03,0.0,10.73,11200,0.002804,-0.054965999999999994,-0.11574300000000001,5049.076110235489,1,0,61,62956.1711079192,1,1,0,1
62,2,0.03,0.0,10.28,10200,-0.041937999999999996,0.009385,0.063593,1533.8926459189402,0,1,49,61261.8803168675,0,1,0,1
63,1,0.03,0.0,9.83,7000,-0.043774,-0.022469,0.0036899999999999997,1248.20444579286,0,1,24,105155.450776131,0,1,0,1
64,2,0.03,0.0,10.28,0,0.0,-0.044133,-0.05567999999999999,2634.2775384113893,1,0,24,102315.23673465199,1,1,0,1
65,5,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,5224.31276337941,1,1,52,93121.6858988325,1,0,0,2
66,5,0.03,0.0,69.75,55796500,0.007121,-0.022425,-0.04503,1950.4197342072107,1,1,47,52844.7645057841,1,0,0,2
67,4,0.03,0.0,72.989998,54289800,0.0,-0.044133,-0.05567999999999999,2322.3413327563103,0,0,55,76824.6617762753,0,1,0,2
68,4,0.03,0.0,71.349998,45706300,-0.043774,-0.022469,0.0036899999999999997,3645.22194845888,0,0,46,89251.2658230168,0,1,0,2
69,5,0.03,0.0,76.360001,68569400,-0.041937999999999996,0.009385,0.063593,2624.70558134677,0,0,55,84226.7691873116,0,1,0,2
70,4,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,4144.68019367757,0,1,40,105866.692144016,1,0,1,2
71,4,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,1696.6480882372796,0,0,51,59408.4600183536,0,0,1,2
72,5,0.03,0.0,76.360001,68569400,-0.041937999999999996,0.009385,0.063593,-2124.87947398591,0,1,29,61109.8871970421,0,0,1,2
73,5,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,-2015.3317082546803,1,1,20,41208.073466557405,1,0,0,2
74,5,0.0,0.003,72.989998,54289800,0.0,-0.044133,-0.05567999999999999,2509.29705682645,0,1,45,89505.15376322859,1,0,1,2
75,3,0.03,0.0,10.88,25900,-0.014493,-0.039955000000000004,-0.096236,2717.0069297132,1,1,40,100922.485141755,1,0,0,1
76,3,0.03,0.0,10.73,11200,0.002804,-0.054965999999999994,-0.11574300000000001,2889.62154683166,1,1,40,91781.80563748039,1,0,0,1
77,5,0.0,0.003,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,1856.69566852688,0,1,31,106431.92994122,0,1,0,2
78,5,0.0,0.003,76.360001,68569400,-0.041937999999999996,0.009385,0.063593,3114.76786417252,1,1,38,96823.1168247628,1,1,0,2
79,3,0.03,0.0,10.88,25900,-0.014493,-0.039955000000000004,-0.096236,-56.438604511154956,0,0,39,82884.54779682969,0,1,0,1
80,1,0.03,0.0,10.7,33900,-0.016544,0.031439,0.090737,-1965.3303897109824,0,1,37,62926.952912788096,1,0,1,1
81,5,0.03,0.0,69.75,55796500,0.007121,-0.022425,-0.04503,-1233.010491768888,0,0,37,65196.4484104201,1,0,1,2
82,5,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,-1311.991017002314,0,0,31,79858.2771059931,1,0,0,2
83,5,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,3995.74531176464,1,1,57,59174.453922550594,1,0,0,2
84,5,0.03,0.0,76.360001,68569400,-0.041937999999999996,0.009385,0.063593,1396.3215793996899,1,1,35,66096.1723016337,1,0,0,2
85,5,0.03,0.0,71.349998,45706300,-0.043774,-0.022469,0.0036899999999999997,1705.9119162985003,1,0,39,86772.9868859378,1,0,0,2
86,1,0.03,0.0,10.28,10200,-0.041937999999999996,0.009385,0.063593,739.8812801416701,1,0,32,67657.6004086687,1,1,0,1
87,5,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,6326.34977531244,1,0,59,85079.3200402575,1,0,1,2
88,5,0.03,0.0,76.360001,68569400,-0.041937999999999996,0.009385,0.063593,4522.492886602129,1,1,34,127302.007663706,1,0,1,2
89,5,0.03,0.0,69.75,55796500,0.007121,-0.022425,-0.04503,2622.8626862675196,0,1,63,72909.1995201267,1,0,1,2
90,4,0.0,0.003,80.050003,69164600,-0.016544,0.031439,0.090737,1042.2350817633198,0,0,47,64434.2947223639,1,1,0,2
91,4,0.0,0.003,72.989998,54289800,0.0,-0.044133,-0.05567999999999999,882.8689375831099,0,1,43,54730.766676494815,1,1,0,2
