,riskscore,opened,SCRate,TrailerRate,Price,Vol,return-N6M,return-HYG,return-IVV,AUM,Subscribed,Gender,age,income,counts,ed_Deg or abv,ed_H.Sch/Dip.,FRC
0,2,1,0.03,0.0,10.28,0,0.0,-0.044133,-0.05567999999999999,2412.72705992471,1,0,38,59585.2933843402,234.70107586816246,0,0,1
1,2,0,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,3445.5082590753996,1,0,44,69632.7139194471,43.041950405366,1,0,2
2,3,0,0.03,0.0,10.28,0,0.0,-0.044133,-0.05567999999999999,5321.2792163676295,0,0,60,92942.19235328131,517.6341650163064,0,1,1
3,5,1,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,229.82450814856603,0,1,41,88269.1176072933,2.8710118617805174,0,1,2
4,4,0,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,4329.09007858072,1,0,36,99612.7604222606,55.78005441052269,0,1,2
5,1,0,0.03,0.0,10.7,33900,-0.016544,0.031439,0.090737,1288.62160037972,0,1,34,87707.16110894941,120.4319252691327,1,0,1
6,1,0,0.03,0.0,10.28,10200,-0.041937999999999996,0.009385,0.063593,5767.75643816171,1,0,42,100265.997133687,561.0658013775983,1,0,1
7,5,1,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,5107.78922280763,1,0,46,66083.1867238962,63.80748321530518,0,1,2
8,5,1,0.03,0.0,76.360001,68569400,-0.041937999999999996,0.009385,0.063593,2635.75398968793,1,1,33,88042.5572815157,34.51746929243662,0,1,2
9,4,0,0.03,0.0,71.349998,45706300,-0.043774,-0.022469,0.0036899999999999997,427.958518477638,1,0,36,52106.0310770651,5.998017245601576,0,1,2
10,4,0,0.0,0.003,72.989998,54289800,0.0,-0.044133,-0.05567999999999999,5047.796974080279,1,0,54,69395.1782410685,69.15737926284474,0,0,2
11,3,0,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,167.592437078449,0,1,41,39270.2926688851,2.1594180507541676,0,0,2
12,3,0,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,3694.7649249893702,1,1,31,122657.27514552699,46.1557125112084,0,0,2
13,3,0,0.03,0.0,69.75,55796500,0.007121,-0.022425,-0.04503,2797.15724953408,1,0,36,63522.3928695339,40.10261289654595,0,0,2
14,3,0,0.03,0.0,9.9,21700,0.007121,-0.022425,-0.04503,1724.2472567086302,1,0,41,63797.260227300896,174.1663895665283,0,1,1
15,3,0,0.03,0.0,10.28,10200,-0.041937999999999996,0.009385,0.063593,6211.27880316078,1,0,39,116922.463591315,604.2100003074689,1,0,1
16,1,0,0.03,0.0,9.83,7000,-0.043774,-0.022469,0.0036899999999999997,3412.68482230106,1,0,39,72406.0870222172,347.1703786674527,1,0,1
17,1,0,0.03,0.0,9.9,21700,0.007121,-0.022425,-0.04503,892.655925228186,0,0,40,73240.6751122879,90.16726517456424,1,0,1
18,3,0,0.03,0.0,10.88,25900,-0.014493,-0.039955000000000004,-0.096236,2791.9370153521995,0,1,53,78016.4723548151,256.61185802869477,0,1,1
19,3,0,0.03,0.0,75.650002,43080100,0.002804,-0.054965999999999994,-0.11574300000000001,1525.2778382693698,0,1,51,77783.545835561,20.162297395172175,0,1,2
20,3,0,0.03,0.0,71.349998,45706300,-0.043774,-0.022469,0.0036899999999999997,1116.96053198911,0,1,41,74950.39533500231,15.654668021001346,0,1,2
21,4,0,0.03,0.0,72.989998,54289800,0.0,-0.044133,-0.05567999999999999,3511.05817335654,0,0,46,87943.55543371719,48.10327811430465,1,0,2
22,3,0,0.03,0.0,75.650002,43080100,0.002804,-0.054965999999999994,-0.11574300000000001,2208.1023229499,0,1,57,48256.971567981105,29.1883974166967,1,0,2
23,2,0,0.0,0.003,10.7,33900,-0.016544,0.031439,0.090737,2520.2944635347603,0,1,48,73748.5400479665,235.54153864810846,1,0,1
24,2,0,0.0,0.003,71.349998,45706300,-0.043774,-0.022469,0.0036899999999999997,2059.7771370784303,0,1,49,66721.2571709593,28.868636227269835,1,0,2
25,5,0,0.0,0.003,69.75,55796500,0.007121,-0.022425,-0.04503,2820.8843514231203,0,1,49,87556.2707285615,40.44278640033147,0,0,2
26,5,0,0.03,0.0,69.75,55796500,0.007121,-0.022425,-0.04503,774.6426319994881,0,1,32,85773.87157477089,11.105987555548216,0,0,2
27,4,0,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,715.846078394884,0,1,40,72027.8685543232,9.22363186665703,1,0,2
28,1,0,0.03,0.0,10.88,25900,-0.014493,-0.039955000000000004,-0.096236,4387.7273663329,1,0,51,79304.7388018346,403.2837652879503,1,0,1
29,1,0,0.03,0.0,10.7,33900,-0.016544,0.031439,0.090737,-2099.92678303905,0,1,28,27539.329975769302,-196.2548395363598,1,0,1
30,5,0,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,4762.063268719799,1,0,46,101957.724713963,59.488608248019666,1,0,2
31,5,0,0.03,0.0,76.360001,68569400,-0.041937999999999996,0.009385,0.063593,3218.74285124482,0,0,40,80348.4465710696,42.15221070053182,1,0,2
32,5,0,0.0,0.003,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,2889.54251001395,1,0,33,75594.283837019,37.2315741886661,0,1,2
33,2,0,0.03,0.0,10.28,0,0.0,-0.044133,-0.05567999999999999,5656.56850879197,1,0,43,87672.8483265232,550.2498549408532,0,1,1
34,5,0,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,2239.86625348536,0,1,32,92261.31016866789,28.86053633068965,0,1,2
35,5,0,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,3143.8701221247698,1,0,30,89265.9554681825,39.27382891072183,0,1,2
36,1,0,0.03,0.0,10.28,0,0.0,-0.044133,-0.05567999999999999,2313.26472590609,1,0,34,86454.75943050941,225.02575154728504,1,0,1
37,3,0,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,3757.8528521823296,1,0,43,75053.4076317816,46.943819005007775,0,0,2
38,2,0,0.03,0.0,10.73,11200,0.002804,-0.054965999999999994,-0.11574300000000001,2593.7960589693803,1,1,38,69545.38605876469,241.73309030469525,0,1,1
39,2,0,0.03,0.0,10.28,10200,-0.041937999999999996,0.009385,0.063593,1411.06980629915,0,1,36,72754.5212040652,137.26359983454768,0,1,1
40,4,0,0.03,0.0,76.360001,68569400,-0.041937999999999996,0.009385,0.063593,3570.41142892464,0,1,49,91174.991437672,46.7576137004587,0,0,2
41,5,0,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,2195.9193940897303,0,0,40,72220.79306899781,28.294283800997896,0,1,2
42,1,0,0.0,0.003,10.7,33900,-0.016544,0.031439,0.090737,121.36094357017001,1,1,35,52745.0650664785,11.342144258894393,1,0,1
43,1,0,0.03,0.0,10.88,25900,-0.014493,-0.039955000000000004,-0.096236,1507.82351179981,1,0,38,41791.4101199105,138.58671983454136,0,0,1
44,1,0,0.03,0.0,10.28,10200,-0.041937999999999996,0.009385,0.063593,2807.5332012997196,1,0,38,64595.4918990659,273.10634253888327,0,0,1
45,4,1,0.0,0.003,80.050003,69164600,-0.016544,0.031439,0.090737,2960.12119633743,1,0,39,87191.7651326291,36.9784020662364,1,0,2
46,4,0,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,3050.3210205004198,1,1,26,93053.15101784801,39.30319522222941,0,1,2
47,4,0,0.03,0.0,69.75,55796500,0.007121,-0.022425,-0.04503,1269.54017577107,0,1,32,89538.77936658669,18.201292842595986,0,1,2
48,4,0,0.03,0.0,10.88,25900,-0.014493,-0.039955000000000004,-0.096236,4020.11950517081,1,0,29,109860.595477839,369.49627804878764,0,0,1
49,4,0,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,2304.9454778631302,1,0,31,73112.1014684218,28.793821255236306,0,0,2
50,4,0,0.03,0.0,75.650002,43080100,0.002804,-0.054965999999999994,-0.11574300000000001,1884.9721464669,0,1,45,100241.23526203401,24.9170138351999,0,0,2
51,4,0,0.03,0.0,69.75,55796500,0.007121,-0.022425,-0.04503,4963.14036237044,1,0,56,80263.52401606219,71.15613422753319,0,0,2
52,5,0,0.03,0.0,72.989998,54289800,0.0,-0.044133,-0.05567999999999999,5536.59145535871,0,0,49,114325.55154451,75.85411161894689,0,1,2
53,5,0,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,1360.33296273945,1,0,38,43910.2850561597,16.993540434213976,1,0,2
54,5,0,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,4882.011569381099,0,1,62,78810.4497484156,60.987025439350695,0,1,2
55,5,0,0.03,0.0,69.75,55796500,0.007121,-0.022425,-0.04503,8691.1100808276,0,0,59,120845.454250442,124.60372875738496,0,1,2
56,1,0,0.03,0.0,10.88,25900,-0.014493,-0.039955000000000004,-0.096236,2905.58286970156,0,1,43,96793.2292553593,267.0572490534522,0,1,1
57,4,0,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,2501.8320443990197,1,0,48,49539.27809064309,32.23594913236787,0,0,2
58,3,0,0.03,0.0,71.349998,45706300,-0.043774,-0.022469,0.0036899999999999997,6613.32414353722,0,0,60,106886.95037166,92.68849795254683,0,1,2
