,trd_date,fund_id,investor_id,unit_count,gender,income,education,intermediaryid,riskscore,subscribed,opened,SCRate,TrailerRate,FundRiskScore,FundName,Price,return-N6M,return-HYG,return-IVV
1,2019/8/25,HYG,39685,9.254125073,M,32455.83539,H.Sch/Dip.,1,5,FALSE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
2,2019/8/25,IVV,39685,11.12378441,M,32455.83539,H.Sch/Dip.,1,5,FALSE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
3,2019/8/25,N6M,49107,151.5696074,M,44717.69046,H.Sch/Dip.,7,4,TRUE,0,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
4,2019/8/25,HYG,49107,77.7924638,M,44717.69046,H.Sch/Dip.,7,4,TRUE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
5,2019/8/25,IVV,49107,29.22165081,M,44717.69046,H.Sch/Dip.,7,4,TRUE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
6,2019/8/25,HYG,42930,6.791929592,M,12289.75865,H.Sch/Dip.,6,5,FALSE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
7,2019/8/25,IVV,42930,8.164138689,M,12289.75865,H.Sch/Dip.,6,5,FALSE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
8,2019/8/25,N6M,91513,142.6728621,F,33812.53104,H.Sch/Dip.,3,2,FALSE,0,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
9,2019/8/25,HYG,91513,12.20437445,F,33812.53104,H.Sch/Dip.,3,2,FALSE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
10,2019/8/25,N6M,62562,445.9611939,M,58908.36424,Deg or abv,1,2,FALSE,0,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
11,2019/8/25,HYG,62562,38.14795131,M,58908.36424,Deg or abv,1,2,FALSE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
12,2019/8/25,N6M,96879,1046.011871,F,375867.3438,H.Sch/Dip.,1,4,FALSE,0,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
13,2019/8/25,HYG,96879,536.8611954,F,375867.3438,H.Sch/Dip.,1,4,FALSE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
14,2019/8/25,IVV,96879,201.664398,F,375867.3438,H.Sch/Dip.,1,4,FALSE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
15,2019/8/25,N6M,44498,57.28432984,M,62237.776,H.Sch/Dip.,1,3,TRUE,0,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
16,2019/8/25,HYG,44498,12.25039228,M,62237.776,H.Sch/Dip.,1,3,TRUE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
17,2019/8/25,IVV,44498,1.472540317,M,62237.776,H.Sch/Dip.,1,3,TRUE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
18,2019/8/25,N6M,31587,38.13458169,M,29417.59572,H.Sch/Dip.,2,4,FALSE,0,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
19,2019/8/25,HYG,31587,19.57241373,M,29417.59572,H.Sch/Dip.,2,4,FALSE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
20,2019/8/25,IVV,31587,7.352103424,M,29417.59572,H.Sch/Dip.,2,4,FALSE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
21,2019/8/25,N6M,19681,3156.213781,F,865402.7759,Deg or abv,1,1,TRUE,0,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
22,2019/8/25,HYG,39881,9.3391201,F,223926.2651,H.Sch/Dip.,5,5,TRUE,1,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
23,2019/8/25,IVV,39881,11.22595143,F,223926.2651,H.Sch/Dip.,5,5,TRUE,1,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
24,2019/8/25,N6M,90685,727.177029,M,484660.1136,Deg or abv,3,3,TRUE,0,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
25,2019/8/25,HYG,90685,155.5085638,M,484660.1136,Deg or abv,3,3,TRUE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
26,2019/8/25,IVV,90685,18.69267731,M,484660.1136,Deg or abv,3,3,TRUE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
27,2019/8/25,N6M,79752,19.36996669,M,55617.17075,Sec. or below,10,4,TRUE,0,0,0.003,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
28,2019/8/25,HYG,79752,9.941553972,M,55617.17075,Sec. or below,10,4,TRUE,0,0,0.003,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
29,2019/8/25,IVV,79752,3.734405679,M,55617.17075,Sec. or below,10,4,TRUE,0,0,0.005,H,iShares Core S&P 500 ETF,288.91,0,0,0
30,2019/8/25,HYG,19171,1.602021295,M,35812.43652,H.Sch/Dip.,7,5,FALSE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
31,2019/8/25,IVV,19171,1.925686045,M,35812.43652,H.Sch/Dip.,7,5,FALSE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
32,2019/8/25,N6M,48488,19444.07264,F,886259.4347,Deg or abv,7,1,TRUE,1,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
33,2019/8/25,N6M,90693,116.2880832,M,18858.56269,Sec. or below,4,3,TRUE,0,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
34,2019/8/25,HYG,90693,24.86848742,M,18858.56269,Sec. or below,4,3,TRUE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
35,2019/8/25,IVV,90693,2.989279814,M,18858.56269,Sec. or below,4,3,TRUE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
36,2019/8/25,N6M,52996,82.43152035,M,26177.25595,H.Sch/Dip.,4,3,TRUE,0,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
37,2019/8/25,HYG,52996,17.6281797,M,26177.25595,H.Sch/Dip.,4,3,TRUE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
38,2019/8/25,IVV,52996,2.118969314,M,26177.25595,H.Sch/Dip.,4,3,TRUE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
39,2019/8/25,N6M,91069,55.13898563,F,41700.70133,Sec. or below,1,3,FALSE,0,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
40,2019/8/25,HYG,91069,11.79160523,F,41700.70133,Sec. or below,1,3,FALSE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
41,2019/8/25,IVV,91069,1.417392498,F,41700.70133,Sec. or below,1,3,FALSE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
42,2019/8/25,N6M,50194,17.34516019,M,34336.4099,Deg or abv,2,3,FALSE,0,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
43,2019/8/25,HYG,50194,3.709304394,M,34336.4099,Deg or abv,2,3,FALSE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
44,2019/8/25,IVV,50194,0.445871458,M,34336.4099,Deg or abv,2,3,FALSE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
45,2019/8/25,N6M,44771,705.5863546,F,217026.1199,Deg or abv,6,1,FALSE,0,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
46,2019/8/25,N6M,25008,409.8973861,M,110044.2021,H.Sch/Dip.,7,3,TRUE,0,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
47,2019/8/25,HYG,25008,87.65754591,M,110044.2021,H.Sch/Dip.,7,3,TRUE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
48,2019/8/25,IVV,25008,10.53674589,M,110044.2021,H.Sch/Dip.,7,3,TRUE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
49,2019/8/25,N6M,60214,2454.275418,M,280735.6274,H.Sch/Dip.,10,1,FALSE,0,0,0.003,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
50,2019/8/25,HYG,74050,18.56536312,F,143041.4356,Deg or abv,7,5,TRUE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
51,2019/8/25,IVV,74050,22.31622063,F,143041.4356,Deg or abv,7,5,TRUE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
52,2019/8/25,N6M,71601,109.3129326,M,93956.69544,H.Sch/Dip.,2,3,TRUE,0,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
53,2019/8/25,HYG,71601,23.37683461,M,93956.69544,H.Sch/Dip.,2,3,TRUE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
54,2019/8/25,IVV,71601,2.809977891,M,93956.69544,H.Sch/Dip.,2,3,TRUE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
55,2019/8/25,N6M,63042,4.702584944,M,3491.007687,Sec. or below,8,4,FALSE,0,0,0.003,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
56,2019/8/25,HYG,63042,2.413581952,M,3491.007687,Sec. or below,8,4,FALSE,0,0,0.003,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
57,2019/8/25,IVV,63042,0.906628297,M,3491.007687,Sec. or below,8,4,FALSE,0,0,0.005,H,iShares Core S&P 500 ETF,288.91,0,0,0
58,2019/8/25,N6M,19263,246.7924461,M,191964.5593,H.Sch/Dip.,10,4,FALSE,0,0,0.003,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
59,2019/8/25,HYG,19263,126.6651854,M,191964.5593,H.Sch/Dip.,10,4,FALSE,0,0,0.003,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
60,2019/8/25,IVV,19263,47.58000502,M,191964.5593,H.Sch/Dip.,10,4,FALSE,0,0,0.005,H,iShares Core S&P 500 ETF,288.91,0,0,0
61,2019/8/25,HYG,73571,8.689100112,M,106873.8532,H.Sch/Dip.,6,5,FALSE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
62,2019/8/25,IVV,73571,10.4446045,M,106873.8532,H.Sch/Dip.,6,5,FALSE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
63,2019/8/25,N6M,92164,10.85314952,F,115748.3331,Deg or abv,7,4,FALSE,0,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
64,2019/8/25,HYG,92164,5.570333366,F,115748.3331,Deg or abv,7,4,FALSE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
65,2019/8/25,IVV,92164,2.092417807,F,115748.3331,Deg or abv,7,4,FALSE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
66,2019/8/25,N6M,21796,874.9983949,F,122760.553,Deg or abv,6,3,FALSE,0,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
67,2019/8/25,HYG,21796,187.1205198,F,122760.553,Deg or abv,6,3,FALSE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
68,2019/8/25,IVV,21796,22.49254582,F,122760.553,Deg or abv,6,3,FALSE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
69,2019/8/25,N6M,75714,113.216551,M,104595.2122,Deg or abv,8,2,FALSE,0,0,0.003,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
70,2019/8/25,HYG,75714,9.684653135,M,104595.2122,Deg or abv,8,2,FALSE,0,0,0.003,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
71,2019/8/25,HYG,84489,17.33766503,M,61548.5986,Sec. or below,8,5,FALSE,0,0,0.003,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
72,2019/8/25,IVV,84489,20.84048427,M,61548.5986,Sec. or below,8,5,FALSE,0,0,0.005,H,iShares Core S&P 500 ETF,288.91,0,0,0
73,2019/8/25,HYG,58990,3.019785113,F,14828.09661,Sec. or below,1,5,TRUE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
74,2019/8/25,IVV,58990,3.629888111,F,14828.09661,Sec. or below,1,5,TRUE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
75,2019/8/25,N6M,60612,1626.553602,M,77844.02288,Sec. or below,2,1,FALSE,0,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
76,2019/8/25,HYG,85230,14.28599526,M,121351.2049,Deg or abv,7,5,FALSE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
77,2019/8/25,IVV,85230,17.17226968,M,121351.2049,Deg or abv,7,5,FALSE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
78,2019/8/25,N6M,83900,6.404353442,M,52585.98234,Deg or abv,1,4,FALSE,0,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
79,2019/8/25,HYG,83900,3.28700748,M,52585.98234,Deg or abv,1,4,FALSE,0,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
80,2019/8/25,IVV,83900,1.234718378,M,52585.98234,Deg or abv,1,4,FALSE,0,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
81,2019/8/25,HYG,41843,138.0065699,M,228585.2573,Sec. or below,3,5,TRUE,1,0.03,0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.82,0,0,0
82,2019/8/25,IVV,41843,165.8887598,M,228585.2573,Sec. or below,3,5,TRUE,1,0.05,0,H,iShares Core S&P 500 ETF,288.91,0,0,0
83,2019/8/25,N6M,22383,65.47104681,M,128543.833,Sec. or below,3,4,FALSE,0,0.03,0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,11.14,0,0,0
