,TotalTransactions,income,riskscore,subscribed,opened,SCRate,TRate,return-N6M,return-HYG,return-IVV,gen_F,gen_M,ed_Deg or abv,ed_H.Sch/Dip.,ed_Sec. or below
13,1382.3424054721902,47994.400910000004,5,0,0,0.05,0.0,-0.016544,0.031439,0.090737,0,1,1,0,0
15,310.22287222535226,99935.05077999999,4,0,0,0.03571428571428571,0.0,-0.0011259999999999992,0.019997285714285714,0.044345571428571436,1,0,1,0,0
19,3639.0583138089182,124021.8545,5,0,0,0.05,0.0,-0.0026829999999999996,0.0020800000000000003,0.011457,0,1,0,1,0
21,3916.6172104323978,41146.1102,5,0,0,0.045000000000000005,0.0,-0.0015892500000000002,-0.0015167499999999999,-0.00704925,0,1,0,1,0
24,12.234158793439292,55437.147020000004,5,0,0,0.043333333333333335,0.0,-0.004936166666666666,0.019084,0.035904500000000006,0,1,0,0,1
28,6391.5524962449335,180009.3903,5,0,0,0.05,0.0,0.0036832500000000003,0.008334999999999999,0.00471825,0,1,1,0,0
29,9.842483450483996e-08,115488.5533,4,0,0,0.04,0.0,-0.00271,-0.0008039999999999999,-0.00183,1,0,0,1,0
32,620.9840309986456,81049.77526000001,3,0,0,0.0,0.003,0.026173000000000002,0.002653,0.007546,1,0,0,1,0
38,5383.577684257879,60363.88699,5,0,0,0.05,0.0,0.002942,0.00048625000000000003,0.0027949999999999997,0,1,0,1,0
39,1303.1659727484202,94568.35227,5,0,0,0.043333333333333335,0.0,-0.004867333333333334,-0.005512333333333332,-0.009591,1,0,1,0,0
48,44511.3548243537,350263.1365,5,0,0,0.046,0.0,-0.0021452000000000003,-0.0008836,0.005667,0,1,1,0,0
54,1016.7140522753999,64766.28167999999,1,0,0,0.03,0.0,0.0008865,-0.0016250000000000001,-0.0162625,1,0,0,1,0
61,6038.369472819115,392187.5999,4,1,1,0.0,0.003,0.001786,-0.004096,-0.017776,0,1,0,0,1
71,1954.0432004453994,72204.92283,4,0,0,0.0,0.0030000000000000005,-0.0012066666666666669,-0.0006363333333333334,0.0006976666666666664,1,0,0,1,0
75,1647.3582612138594,87114.92093,5,0,0,0.05000000000000001,0.0,-0.003669666666666667,0.011488666666666668,0.028657000000000002,1,0,0,1,0
79,4864.438835005789,551586.1238,5,1,1,0.043333333333333335,0.0,-0.006515333333333334,-0.004626333333333334,-0.007012666666666667,0,1,0,1,0
81,3960.6601403634604,134994.7361,5,0,0,0.05,0.0,-0.0035485,0.002777,0.0239615,1,0,0,1,0
83,491.43967821306114,150813.61,4,0,0,0.03,0.0,0.0017995714285714286,0.011126714285714283,0.012670857142857145,0,1,0,1,0
97,6996.267527319799,62148.488410000005,5,1,1,0.0,0.005,-0.004708166666666667,-0.003809166666666667,-0.007546999999999999,0,1,0,1,0
98,41177.53195298254,348757.5876,5,1,0,0.0,0.005,0.0,0.000909,0.005089,0,1,1,0,0
99,4282.823331694276,241548.4269,5,1,0,0.0,0.004333333333333334,-0.0012053333333333332,0.00022866666666666673,-0.001322,0,1,1,0,0
102,9738.621428219722,464634.3141,5,1,0,0.040909090909090916,0.0,0.002803818181818181,0.0006996363636363638,0.00022745454545454585,0,1,1,0,0
106,702.504331895505,128543.83300000001,4,0,0,0.03666666666666667,0.0,0.002115333333333333,-0.018925333333333332,-0.04543500000000001,0,1,0,0,1
107,25141.15529928493,637281.1271,5,0,0,0.0,0.005,0.0002913333333333334,-0.0033900000000000002,-0.004230333333333333,0,1,0,1,0
109,201.10143504156605,21647.47639,3,0,0,0.03,0.0,0.000898,-0.000113,-0.0015480000000000001,0,1,0,0,1
115,342.0733525479669,37191.17751,5,1,0,0.043333333333333335,0.0,0.0029946666666666667,-0.0016556666666666664,0.0014183333333333333,0,1,0,1,0
119,5318.821172187518,141880.4215,5,0,0,0.05000000000000001,0.0,0.002721666666666667,-0.0005803333333333334,-0.0028976666666666664,1,0,1,0,0
120,5234.972007983999,225867.9383,1,0,0,0.03,0.0,-0.0009050000000000001,0.0019399999999999999,0.000752,0,1,1,0,0
125,7096.103539077251,185967.3656,5,0,0,0.0,0.005,0.0,-0.016057,-0.028162,1,0,0,1,0
126,2192.4054372204,28537.797510000004,3,0,0,0.0,0.0030000000000000005,0.0020803333333333333,-0.008941666666666667,-0.024085333333333334,0,1,0,1,0
143,1069.747040773856,160412.8271,5,1,0,0.0,0.005,0.003636,-0.005888,-0.017904,0,1,1,0,0
148,9854.16746549982,205955.4249,5,0,0,0.0,0.005,-0.004492,0.003821,0.002147,0,1,0,1,0
152,633.3992428868199,31712.44442,5,0,0,0.0,0.005,0.000898,-0.000113,-0.0015480000000000001,0,1,0,0,1
153,2.073124960588757e-08,68661.69552000001,2,0,0,0.0,0.003,0.0,0.001033,0.013012000000000001,1,0,0,1,0
158,1700.2238141430696,117375.7366,5,1,0,0.0,0.005,-0.016544,0.031439,0.090737,1,0,0,1,0
160,239.60928636590927,120674.9799,4,1,0,0.03666666666666667,0.0,-0.027052999999999997,0.006716666666666667,0.04332833333333333,0,1,1,0,0
175,9601.676791710152,277028.7111,5,0,0,0.05,0.0,0.006375,0.0018170000000000003,6.3e-05,0,1,0,1,0
