Date,AverageTransaction,Date,Units,income,riskscore,subscribed,opened,Price,return-N6M,return-HYG,return-IVV,HYG_txn_cnt,IVV_txn_cnt,N6M_txn_cnt,DATE,rtn-N6M,rtn-HYG,rtn-IVV,vol_N6M,vol_HYG,vol_IVV,TRate_y,FRSC_y,SCRate_y,gen_F,gen_M,ed_Deg or abv,ed_H.Sch/Dip.,ed_Sec. or below
2019-08-26,2347.392540060154,2019/8/26,30.550817600000002,324465.7233,3,0,0,86.980003,0.0,0.0,0.0,1,0,0,2019-08-26,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.5,0.030000000000000006,0,1,1,0,0
2019-12-05,2347.392540060154,2019/12/5,0.0,324465.7233,3,0,0,86.809998,0.0,0.0015,0.002107,1,0,0,2019-12-05,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.5,0.030000000000000006,0,1,1,0,0
2019-12-16,2347.392540060154,2019/12/16,-238.5377205,324465.7233,3,0,0,11.04,-0.0009050000000000001,0.0019399999999999999,0.000752,0,0,1,2019-12-16,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.5,0.030000000000000006,0,1,1,0,0
2020-03-02,2347.392540060154,2020/3/2,120.4539561,324465.7233,3,0,0,86.309998,-0.006189,0.0031379999999999997,0.048968,1,0,0,2020-03-02,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.5,0.030000000000000006,0,1,1,0,0
2020-03-25,2347.392540060154,2020/3/25,0.0,324465.7233,3,0,0,73.470001,0.010204000000000001,0.028127999999999997,0.0064670000000000005,1,0,0,2020-03-25,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.5,0.030000000000000006,0,1,1,0,0
2019-08-26,2347.392540060154,2019/8/26,238.5377205,324465.7233,3,0,0,11.14,0.0,0.0,0.0,0,0,1,2019-08-26,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.5,0.030000000000000006,0,1,1,0,0
2020-03-02,2347.392540060154,2020/3/2,924.9449032,324465.7233,3,0,0,11.24,-0.006189,0.0031379999999999997,0.048968,0,0,1,2020-03-02,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.5,0.030000000000000006,0,1,1,0,0
2020-03-25,2347.392540060154,2020/3/25,0.0,324465.7233,3,0,0,9.9,0.010204000000000001,0.028127999999999997,0.0064670000000000005,0,0,1,2020-03-25,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.5,0.030000000000000006,0,1,1,0,0
2019-12-06,763.600735093,2019/12/6,13.176131400000001,40206.16338,4,0,0,86.93,0.0,0.001382,0.008922,1,0,0,2019-12-06,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.6666666666666667,0.03,0,1,1,0,0
2019-12-06,763.600735093,2019/12/6,104.0327977,40206.16338,4,0,0,11.01,0.0,0.001382,0.008922,0,0,1,2019-12-06,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.6666666666666667,0.03,0,1,1,0,0
