,trd_date,fund_id,investor_id,education,intermediaryid,riskscore,SCRate,TrailerRate,FundRiskScore,FundName,Price,Vol,return-N6M,return-HYG,return-IVV,AUM,Open,Gender,age,income,counts,sub
0,2019/8/26,HYG,55887,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.980003,14187800,0.0,0.0,0.0,396.1728775967402,N,M,31,89953.0792779076,4.554758150522715,N
1,2019/10/9,HYG,55887,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.300003,11351300,0.0,0.003022,0.009479,3820.9214780421003,Y,M,33,103063.060048064,44.27487074411921,Y
2,2019/11/19,HYG,55887,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.519997,20175500,-0.003604,-0.0035700000000000007,-0.000223,2003.354360232489,Y,M,42,71597.6145945062,23.154813103293204,Y
3,2019/12/18,HYG,55887,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,88.209999,31575700,0.006375,0.0018170000000000005,6.3e-05,1657.2336407851606,Y,F,47,53341.786595066114,18.787367187082282,Y
4,2019/12/27,HYG,55887,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,87.91999799999998,11627100,0.0,-0.000455,-0.000185,4161.82298660854,Y,M,46,75276.1850864249,47.33647726662302,Y
5,2020/2/25,HYG,55887,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.769997,68415100,0.000883,-0.006981,-0.029985,5223.95080818572,Y,M,54,79338.8355614808,60.20457518496538,Y
6,2020/3/2,HYG,55887,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.309998,72357700,-0.006189,0.003138,0.048968,1034.7677108540697,N,F,54,60331.5779608507,11.988966919615386,Y
7,2020/3/3,HYG,55887,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,85.940002,58721000,0.0008900000000000002,-0.004287,-0.028673,2980.698212571911,Y,F,43,79528.9787327615,34.683478510646424,Y
8,2020/4/8,HYG,55887,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,77.300003,46291400,0.008876,0.026015,0.034184,2082.08408998201,N,M,40,100420.613950701,26.9351100799053,N
9,2020/4/30,HYG,55887,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,80.43,33630600,-0.002849,0.001993,-0.010098,1913.35843674425,N,M,34,78493.3030234163,23.789113971705213,Y
10,2020/5/1,HYG,55887,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,78.68,31859400,0.0,-0.021758,-0.026206,922.6405123545699,Y,F,37,77264.8126276841,11.72649354797369,Y
11,2020/5/4,HYG,55887,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,78.57,20400900,0.0,-0.001398,0.00388,2128.39687243028,N,F,41,89302.0056104375,27.08917999783989,N
12,2020/5/19,HYG,55887,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,80.199997,18536500,0.0,0.001248,-0.010303,1709.10639441712,N,M,40,84324.0874709795,21.31055434350104,Y
